Timestamp,Voltage,Current,Power,Ah,AhSeconds,AhHours
15-10-2021 17:14:23,12.1816,0.0654,0.63,0.0000e+00,0.0,0.000
15-10-2021 17:14:29,13.8733,199.9802,2807.79,1.0554e-01,5.1,0.001
15-10-2021 17:14:34,14.1008,199.9474,2853.45,3.8885e-01,10.2,0.003
15-10-2021 17:14:39,14.2011,199.9965,2873.47,6.7216e-01,15.3,0.004
15-10-2021 17:14:44,14.2630,199.9965,2885.98,9.6102e-01,20.5,0.006
15-10-2021 17:14:49,14.3108,199.9965,2894.73,1.2443e+00,25.6,0.007
15-10-2021 17:14:54,14.3493,200.0129,2902.86,1.5276e+00,30.8,0.009
15-10-2021 17:14:59,14.3808,199.9802,2909.12,1.8165e+00,35.9,0.010
15-10-2021 17:15:05,12.7673,0.0818,0.63,2.0276e+00,41.1,0.011
