Timestamp,Voltage,Current,Power,PositiveAh,NegativeAh,AhSeconds,AhHours
19-10-2021 17:53:40,12.5082,0.0000,0.00,0.0000e+00,0.0000e+00,0.0,0.000
19-10-2021 17:53:45,10.5003,-300.0275,-3206.22,0.0000e+00,-1.6179e-01,5.2,0.001
19-10-2021 17:53:50,10.4992,-281.8996,-3010.45,0.0000e+00,-5.7943e-01,10.4,0.003
19-10-2021 17:53:55,10.4992,-273.4082,-2924.13,0.0000e+00,-9.7190e-01,15.6,0.004
19-10-2021 17:54:01,10.5003,-269.0562,-2877.85,0.0000e+00,-1.3634e+00,20.7,0.006
19-10-2021 17:54:06,10.5003,-266.4712,-2846.57,0.0000e+00,-1.7499e+00,25.9,0.007
19-10-2021 17:54:11,10.4992,-264.6551,-2828.43,0.0000e+00,-2.1332e+00,31.1,0.009
19-10-2021 17:54:16,10.4992,-263.3462,-2816.55,0.0000e+00,-2.5145e+00,36.3,0.010
19-10-2021 17:54:21,10.5003,-262.2991,-2805.29,0.0000e+00,-2.8942e+00,41.5,0.012
19-10-2021 17:54:27,10.4992,-261.4974,-2797.78,0.0000e+00,-3.2726e+00,46.7,0.013
19-10-2021 17:54:32,10.4992,-260.9902,-2788.40,0.0000e+00,-3.6499e+00,51.9,0.014
19-10-2021 17:54:37,10.4992,-260.3358,-2782.77,0.0000e+00,-4.0263e+00,57.1,0.016
19-10-2021 17:54:42,10.5003,-259.8777,-2777.77,0.0000e+00,-4.3946e+00,62.3,0.017
19-10-2021 17:54:47,10.5003,-259.2069,-2770.26,0.0000e+00,-4.7694e+00,67.5,0.019
19-10-2021 17:54:52,10.4992,-258.6670,-2765.26,0.0000e+00,-5.1434e+00,72.6,0.020
19-10-2021 17:54:58,10.5003,-258.1107,-2759.63,0.0000e+00,-5.5165e+00,77.8,0.022
19-10-2021 17:55:03,10.5003,-257.6853,-2754.00,0.0000e+00,-5.8892e+00,83.0,0.023
19-10-2021 17:55:08,10.5003,-257.2109,-2750.87,0.0000e+00,-6.2541e+00,88.2,0.024
19-10-2021 17:55:13,10.4992,-256.9654,-2744.62,0.0000e+00,-6.6254e+00,93.3,0.026
19-10-2021 17:55:18,10.4992,-256.3601,-2739.61,0.0000e+00,-6.9956e+00,98.5,0.027
19-10-2021 17:55:24,10.5003,-255.8856,-2735.24,0.0000e+00,-7.3659e+00,103.7,0.029
19-10-2021 17:55:29,10.5003,-255.5420,-2729.61,0.0000e+00,-7.7354e+00,108.9,0.030
19-10-2021 17:55:34,10.5003,-255.0512,-2727.10,0.0000e+00,-8.1037e+00,114.1,0.032
19-10-2021 17:55:39,10.5003,-254.6749,-2721.47,0.0000e+00,-8.4646e+00,119.2,0.033
19-10-2021 17:55:44,10.4992,-254.1677,-2718.35,0.0000e+00,-8.8323e+00,124.4,0.035
19-10-2021 17:55:49,10.4992,-253.7914,-2713.34,0.0000e+00,-9.1989e+00,129.6,0.036
19-10-2021 17:55:55,10.5003,-253.2842,-2708.96,0.0000e+00,-9.5657e+00,134.8,0.037
19-10-2021 17:56:00,10.5003,-253.0715,-2703.96,0.0000e+00,-9.9242e+00,140.0,0.039
19-10-2021 17:56:05,10.5003,-252.6461,-2699.58,0.0000e+00,-1.0289e+01,145.1,0.040
19-10-2021 17:56:10,10.4992,-252.1389,-2695.20,0.0000e+00,-1.0654e+01,150.3,0.042
