Timestamp,Voltage,Current,Power,PositiveAh,NegativeAh,AhSeconds,AhHours
19-10-2021 17:39:07,11.5002,-139.2319,-1626.25,0.0000e+00,0.0000e+00,0.1,0.000
19-10-2021 17:39:12,11.4990,-134.5199,-1571.21,0.0000e+00,-1.9740e-01,5.2,0.001
19-10-2021 17:39:17,11.4990,-131.0841,-1531.18,0.0000e+00,-3.8534e-01,10.3,0.003
19-10-2021 17:39:22,11.4990,-128.5645,-1501.16,0.0000e+00,-5.6915e-01,15.4,0.004
19-10-2021 17:39:28,11.4990,-126.5685,-1478.02,0.0000e+00,-7.4971e-01,20.5,0.006
19-10-2021 17:39:33,11.4990,-124.9324,-1458.63,0.0000e+00,-9.2785e-01,25.6,0.007
19-10-2021 17:39:38,11.5002,-123.5254,-1442.99,0.0000e+00,-1.1038e+00,30.8,0.009
19-10-2021 17:39:43,11.4990,-122.4128,-1430.48,0.0000e+00,-1.2814e+00,35.9,0.010
19-10-2021 17:39:48,11.4990,-121.4966,-1419.85,0.0000e+00,-1.4541e+00,41.0,0.011
